repository,year,interval,NLOC,CCN
caffe,2015,4,39900,2.3
caffe,2015,8,44695,2.3
caffe,2015,12,46743,2.4
caffe,2016,4,48545,2.4
caffe,2016,8,49827,2.4
caffe,2016,12,49957,2.4
caffe,2017,4,50292,2.4
caffe,2017,8,50292,2.4
caffe,2017,12,50354,2.4
caffe,2018,4,53699,2.4
caffe,2018,8,53812,2.4
caffe,2018,12,53812,2.4
caffe,2019,4,53812,2.4
caffe,2019,8,53812,2.4
caffe,2019,12,53812,2.4
Catch2,2015,4,4339,1.4
Catch2,2015,8,4417,1.4
Catch2,2015,12,4701,1.4
Catch2,2016,4,4736,1.4
Catch2,2016,8,4736,1.4
Catch2,2016,12,4743,1.4
Catch2,2017,4,4932,1.4
Catch2,2017,8,8886,1.7
Catch2,2017,12,10855,1.6
Catch2,2018,4,11461,1.6
Catch2,2018,8,11868,1.6
Catch2,2018,12,12388,1.6
Catch2,2019,4,13072,1.6
Catch2,2019,8,14199,1.6
Catch2,2019,12,14714,1.6
Chaste,2015,4,110698,3.6
Chaste,2015,8,112644,3.6
Chaste,2015,12,113238,3.5
Chaste,2016,4,114169,3.5
Chaste,2016,8,116269,3.4
Chaste,2016,12,115580,3.4
Chaste,2017,4,115851,3.4
Chaste,2017,8,116169,3.4
Chaste,2017,12,116242,3.4
Chaste,2018,4,116319,3.4
Chaste,2018,8,116324,3.4
Chaste,2018,12,116328,3.4
Chaste,2019,4,116335,3.4
Chaste,2019,8,116351,3.4
Chaste,2019,12,116331,3.4
cJSON,2015,4,60,0.0
cJSON,2015,8,60,0.0
cJSON,2015,12,61,0.0
cJSON,2016,4,61,0.0
cJSON,2016,8,63,0.0
cJSON,2016,12,68,0.0
cJSON,2017,4,356,1.0
cJSON,2017,8,367,1.0
cJSON,2017,12,462,1.9
cJSON,2018,4,465,1.9
cJSON,2018,8,465,1.9
cJSON,2018,12,465,1.9
cJSON,2019,4,465,1.9
cJSON,2019,8,465,1.9
cJSON,2019,12,465,1.9
ClickHouse,2015,4,124661,2.7
ClickHouse,2015,8,145208,2.7
ClickHouse,2015,12,166786,2.7
ClickHouse,2016,4,386831,2.4
ClickHouse,2016,8,406789,2.4
ClickHouse,2016,12,412281,2.4
ClickHouse,2017,4,441006,2.4
ClickHouse,2017,8,456356,2.4
ClickHouse,2017,12,232718,2.9
ClickHouse,2018,4,216167,2.8
ClickHouse,2018,8,238379,2.8
ClickHouse,2018,12,254016,2.8
ClickHouse,2019,4,287362,2.7
ClickHouse,2019,8,409985,2.7
ClickHouse,2019,12,419525,2.8
cm-compiler,2015,4,703408,3.0
cm-compiler,2015,8,739065,3.0
cm-compiler,2015,12,764249,3.0
cm-compiler,2016,4,806371,3.0
cm-compiler,2016,8,858045,3.0
cm-compiler,2016,12,895130,3.0
cm-compiler,2017,4,929549,3.1
cm-compiler,2017,8,954362,3.1
cm-compiler,2017,12,983658,3.1
cm-compiler,2018,4,1011410,3.0
cm-compiler,2018,8,1043322,3.0
cm-compiler,2018,12,1061624,3.0
cm-compiler,2019,4,2343979,3.7
cm-compiler,2019,8,2352632,3.7
cm-compiler,2019,12,2361162,3.7
cppcheck,2015,4,130571,4.2
cppcheck,2015,8,134337,4.0
cppcheck,2015,12,137280,3.7
cppcheck,2016,4,137067,3.7
cppcheck,2016,8,139098,3.8
cppcheck,2016,12,141980,3.8
cppcheck,2017,4,144935,4.0
cppcheck,2017,8,148256,4.0
cppcheck,2017,12,152217,4.0
cppcheck,2018,4,196055,2.6
cppcheck,2018,8,161568,4.4
cppcheck,2018,12,168078,4.4
cppcheck,2019,4,170454,4.5
cppcheck,2019,8,179173,4.5
cppcheck,2019,12,187199,4.4
cryptopp,2015,4,51016,2.2
cryptopp,2015,8,52193,2.3
cryptopp,2015,12,53939,2.2
cryptopp,2016,4,58237,2.3
cryptopp,2016,8,61181,2.3
cryptopp,2016,12,65311,2.4
cryptopp,2017,4,66138,2.4
cryptopp,2017,8,70209,2.5
cryptopp,2017,12,74937,2.5
cryptopp,2018,4,77583,2.5
cryptopp,2018,8,81279,2.5
cryptopp,2018,12,88486,2.5
cryptopp,2019,4,92983,2.5
cryptopp,2019,8,93991,2.5
cryptopp,2019,12,94656,2.5
dash,2015,4,83168,3.0
dash,2015,8,94175,3.2
dash,2015,12,92151,3.0
dash,2016,4,93189,3.0
dash,2016,8,108833,3.2
dash,2016,12,112442,3.2
dash,2017,4,114288,3.2
dash,2017,8,115746,3.2
dash,2017,12,119606,3.1
dash,2018,4,126370,3.1
dash,2018,8,129490,3.1
dash,2018,12,136397,3.2
dash,2019,4,142140,3.2
dash,2019,8,145531,3.2
dash,2019,12,148541,3.2
electron,2015,4,0,0.0
electron,2015,8,29263,2.1
electron,2015,12,36551,2.2
electron,2016,4,38740,2.2
electron,2016,8,42836,2.2
electron,2016,12,46404,2.3
electron,2017,4,49566,2.3
electron,2017,8,60507,2.2
electron,2017,12,62206,2.2
electron,2018,4,63396,2.2
electron,2018,8,63273,2.2
electron,2018,12,55300,2.1
electron,2019,4,57666,2.1
electron,2019,8,57755,2.1
electron,2019,12,58353,2.2
fmt,2015,4,31126,1.7
fmt,2015,8,31485,1.7
fmt,2015,12,31816,1.7
fmt,2016,4,29900,1.7
fmt,2016,8,32487,1.7
fmt,2016,12,32492,1.7
fmt,2017,4,32873,1.7
fmt,2017,8,32614,1.7
fmt,2017,12,33257,1.7
fmt,2018,4,33810,1.6
fmt,2018,8,35053,1.7
fmt,2018,12,36344,1.7
fmt,2019,4,37733,1.7
fmt,2019,8,38391,1.7
fmt,2019,12,39271,1.7
folly,2015,4,104577,1.9
folly,2015,8,105313,1.9
folly,2015,12,110782,1.9
folly,2016,4,116692,1.9
folly,2016,8,129267,1.9
folly,2016,12,139000,1.8
folly,2017,4,149304,1.8
folly,2017,8,164660,1.8
folly,2017,12,180450,1.8
folly,2018,4,195794,1.8
folly,2018,8,211768,1.8
folly,2018,12,233768,1.8
folly,2019,4,261853,1.8
folly,2019,8,270887,1.8
folly,2019,12,279411,1.8
gdal,2015,4,666308,6.5
gdal,2015,8,699215,6.5
gdal,2015,12,717352,6.5
gdal,2016,4,751527,6.6
gdal,2016,8,764981,6.6
gdal,2016,12,814988,6.6
gdal,2017,4,834486,6.6
gdal,2017,8,841855,6.7
gdal,2017,12,871885,6.7
gdal,2018,4,898034,6.6
gdal,2018,8,965922,6.8
gdal,2018,12,977012,6.8
gdal,2019,4,993662,6.8
gdal,2019,8,1023010,6.7
gdal,2019,12,1041765,6.5
godot,2015,4,420532,3.5
godot,2015,8,434634,3.6
godot,2015,12,429196,3.4
godot,2016,4,425568,3.6
godot,2016,8,468654,3.6
godot,2016,12,482424,3.6
godot,2017,4,499652,3.6
godot,2017,8,496507,3.6
godot,2017,12,696182,3.4
godot,2018,4,708333,3.4
godot,2018,8,773973,3.4
godot,2018,12,794417,3.4
godot,2019,4,847024,3.4
godot,2019,8,861290,3.4
godot,2019,12,865798,3.4
Halide,2015,4,78680,3.4
Halide,2015,8,86756,3.7
Halide,2015,12,89562,3.7
Halide,2016,4,95680,3.8
Halide,2016,8,112904,3.9
Halide,2016,12,113136,3.7
Halide,2017,4,120595,3.6
Halide,2017,8,129818,3.6
Halide,2017,12,143822,3.5
Halide,2018,4,149043,3.6
Halide,2018,8,160731,3.6
Halide,2018,12,168996,3.5
Halide,2019,4,184670,3.6
Halide,2019,8,189738,3.6
Halide,2019,12,199548,3.6
imgui,2015,4,15762,4.3
imgui,2015,8,19095,4.7
imgui,2015,12,20502,4.8
imgui,2016,4,22030,4.8
imgui,2016,8,22515,4.9
imgui,2016,12,22750,4.9
imgui,2017,4,23243,4.9
imgui,2017,8,24390,4.9
imgui,2017,12,26046,5.0
imgui,2018,4,29624,5.5
imgui,2018,8,29848,5.5
imgui,2018,12,31324,5.6
imgui,2019,4,32862,5.6
imgui,2019,8,33846,5.6
imgui,2019,12,34358,5.6
json,2015,4,7066,5.2
json,2015,8,10236,2.2
json,2015,12,11246,2.4
json,2016,4,13679,2.3
json,2016,8,14667,2.3
json,2016,12,23495,3.3
json,2017,4,26098,3.4
json,2017,8,27307,3.4
json,2017,12,28118,3.4
json,2018,4,35055,3.2
json,2018,8,37235,3.1
json,2018,12,38677,3.0
json,2019,4,42907,2.9
json,2019,8,43072,2.9
json,2019,12,43127,2.9
JUCE,2015,4,271053,2.3
JUCE,2015,8,283829,2.3
JUCE,2015,12,295048,2.3
JUCE,2016,4,299986,2.3
JUCE,2016,8,303198,2.3
JUCE,2016,12,313440,2.3
JUCE,2017,4,322638,2.3
JUCE,2017,8,339108,2.3
JUCE,2017,12,352772,2.3
JUCE,2018,4,368264,2.3
JUCE,2018,8,387016,2.3
JUCE,2018,12,391416,2.3
JUCE,2019,4,394392,2.3
JUCE,2019,8,395980,2.3
JUCE,2019,12,396742,2.3
kakoune,2015,4,13086,3.5
kakoune,2015,8,13685,3.6
kakoune,2015,12,14510,3.8
kakoune,2016,4,15492,3.6
kakoune,2016,8,15955,3.6
kakoune,2016,12,16434,3.6
kakoune,2017,4,17238,3.6
kakoune,2017,8,17798,3.6
kakoune,2017,12,19359,3.8
kakoune,2018,4,19855,3.8
kakoune,2018,8,20506,3.8
kakoune,2018,12,20917,3.8
kakoune,2019,4,21322,3.8
kakoune,2019,8,21425,3.8
kakoune,2019,12,21665,3.8
libtorrent,2015,4,87098,5.5
libtorrent,2015,8,90513,4.9
libtorrent,2015,12,93695,4.8
libtorrent,2016,4,94663,4.6
libtorrent,2016,8,95937,4.5
libtorrent,2016,12,96410,4.4
libtorrent,2017,4,98311,4.3
libtorrent,2017,8,100347,4.3
libtorrent,2017,12,103225,4.8
libtorrent,2018,4,101349,4.2
libtorrent,2018,8,104038,4.8
libtorrent,2018,12,102435,4.2
libtorrent,2019,4,96998,4.0
libtorrent,2019,8,100675,4.1
libtorrent,2019,12,101502,3.9
Marlin,2015,4,21929,3.7
Marlin,2015,8,23341,3.6
Marlin,2015,12,23203,3.7
Marlin,2016,4,24181,3.8
Marlin,2016,8,19130,4.9
Marlin,2016,12,21036,5.3
Marlin,2017,4,26135,5.5
Marlin,2017,8,29487,5.3
Marlin,2017,12,47612,4.5
Marlin,2018,4,56065,4.6
Marlin,2018,8,57469,4.6
Marlin,2018,12,53613,4.9
Marlin,2019,4,60288,4.7
Marlin,2019,8,78286,4.3
Marlin,2019,12,88274,4.3
mongo,2015,4,766491,2.3
mongo,2015,8,851236,2.4
mongo,2015,12,874019,2.4
mongo,2016,4,1184531,2.7
mongo,2016,8,1245471,2.6
mongo,2016,12,1263361,2.6
mongo,2017,4,1282343,2.6
mongo,2017,8,1387909,2.6
mongo,2017,12,1401999,2.6
mongo,2018,4,1434620,2.5
mongo,2018,8,1431696,2.5
mongo,2018,12,1531620,2.5
mongo,2019,4,1691926,2.5
mongo,2019,8,1730115,2.5
mongo,2019,12,1761774,2.5
mysql-server,2015,4,1165969,4.0
mysql-server,2015,8,1191733,4.0
mysql-server,2015,12,1572672,4.0
mysql-server,2016,4,1749464,3.7
mysql-server,2016,8,1329857,3.7
mysql-server,2016,12,1353798,3.7
mysql-server,2017,4,2219503,3.7
mysql-server,2017,8,2310379,3.6
mysql-server,2017,12,2669979,3.8
mysql-server,2018,4,2441542,3.8
mysql-server,2018,8,2488467,3.8
mysql-server,2018,12,2494122,3.6
mysql-server,2019,4,2541276,3.6
mysql-server,2019,8,2553388,3.6
mysql-server,2019,12,2586601,3.6
opencv,2015,4,445722,3.9
opencv,2015,8,484553,3.9
opencv,2015,12,454674,4.3
opencv,2016,4,459222,4.2
opencv,2016,8,485369,3.9
opencv,2016,12,496311,4.3
opencv,2017,4,498738,4.3
opencv,2017,8,681317,3.1
opencv,2017,12,693087,3.1
opencv,2018,4,683169,3.3
opencv,2018,8,693715,3.3
opencv,2018,12,702624,3.2
opencv,2019,4,700623,3.2
opencv,2019,8,722916,3.2
opencv,2019,12,738668,3.2
pcl,2015,4,402175,3.9
pcl,2015,8,403391,3.9
pcl,2015,12,406490,3.9
pcl,2016,4,406497,3.9
pcl,2016,8,406589,3.9
pcl,2016,12,406596,3.9
pcl,2017,4,406662,3.9
pcl,2017,8,406897,3.9
pcl,2017,12,408671,3.9
pcl,2018,4,409738,3.9
pcl,2018,8,410246,3.9
pcl,2018,12,408257,3.8
pcl,2019,4,407305,3.8
pcl,2019,8,406722,3.8
pcl,2019,12,405603,3.8
rdkit,2015,4,126221,3.8
rdkit,2015,8,129821,3.8
rdkit,2015,12,141704,3.9
rdkit,2016,4,145789,3.9
rdkit,2016,8,151097,3.8
rdkit,2016,12,161519,3.9
rdkit,2017,4,165754,3.9
rdkit,2017,8,171699,3.9
rdkit,2017,12,175176,3.9
rdkit,2018,4,178385,3.9
rdkit,2018,8,181385,3.9
rdkit,2018,12,190817,3.8
rdkit,2019,4,197728,3.8
rdkit,2019,8,200740,3.8
rdkit,2019,12,204756,3.8
rocksdb,2015,4,118082,2.3
rocksdb,2015,8,137029,2.3
rocksdb,2015,12,152702,2.3
rocksdb,2016,4,159594,2.3
rocksdb,2016,8,177734,2.3
rocksdb,2016,12,188186,2.3
rocksdb,2017,4,194420,2.4
rocksdb,2017,8,209042,2.4
rocksdb,2017,12,217652,2.5
rocksdb,2018,4,228014,2.5
rocksdb,2018,8,241536,2.5
rocksdb,2018,12,252000,2.6
rocksdb,2019,4,255305,2.6
rocksdb,2019,8,276171,2.6
rocksdb,2019,12,290465,2.6
seastar,2015,4,12317,2.0
seastar,2015,8,13908,2.0
seastar,2015,12,15898,2.0
seastar,2016,4,17423,2.0
seastar,2016,8,19718,2.1
seastar,2016,12,20862,2.1
seastar,2017,4,23060,2.1
seastar,2017,8,23490,2.1
seastar,2017,12,25336,2.2
seastar,2018,4,26690,2.1
seastar,2018,8,27455,2.1
seastar,2018,12,29936,2.1
seastar,2019,4,31956,2.1
seastar,2019,8,32677,2.1
seastar,2019,12,34072,2.1
solidity,2015,4,9675,1.3
solidity,2015,8,26634,2.0
solidity,2015,12,31877,2.1
solidity,2016,4,39123,2.3
solidity,2016,8,43029,2.3
solidity,2016,12,48317,2.3
solidity,2017,4,53204,2.3
solidity,2017,8,61341,2.3
solidity,2017,12,66752,2.3
solidity,2018,4,72545,2.4
solidity,2018,8,68749,2.5
solidity,2018,12,73803,2.6
solidity,2019,4,86922,2.6
solidity,2019,8,97697,2.6
solidity,2019,12,104083,2.7
tesseract,2015,4,144604,3.9
tesseract,2015,8,143046,3.9
tesseract,2015,12,142957,3.9
tesseract,2016,4,143195,3.9
tesseract,2016,8,143035,3.9
tesseract,2016,12,142832,3.9
tesseract,2017,4,141511,3.9
tesseract,2017,8,142445,3.9
tesseract,2017,12,142960,3.9
tesseract,2018,4,142882,3.9
tesseract,2018,8,151291,3.8
tesseract,2018,12,152025,3.8
tesseract,2019,4,154584,3.8
tesseract,2019,8,147103,4.0
tesseract,2019,12,154978,4.0
TileDB,2015,4,26184,2.2
TileDB,2015,8,30980,2.5
TileDB,2015,12,20360,1.9
TileDB,2016,4,14325,4.5
TileDB,2016,8,17079,4.7
TileDB,2016,12,22966,4.6
TileDB,2017,4,24589,4.7
TileDB,2017,8,27141,2.8
TileDB,2017,12,32929,2.9
TileDB,2018,4,27447,2.8
TileDB,2018,8,44123,2.8
TileDB,2018,12,53122,2.8
TileDB,2019,4,56568,2.8
TileDB,2019,8,56658,2.8
TileDB,2019,12,56658,2.8
TrinityCore,2015,4,562904,3.4
TrinityCore,2015,8,570870,3.3
TrinityCore,2015,12,573699,3.3
TrinityCore,2016,4,758693,2.9
TrinityCore,2016,8,771990,2.9
TrinityCore,2016,12,778307,2.9
TrinityCore,2017,4,809357,2.9
TrinityCore,2017,8,816784,2.8
TrinityCore,2017,12,823074,2.8
TrinityCore,2018,4,828490,2.8
TrinityCore,2018,8,828993,2.8
TrinityCore,2018,12,918261,2.7
TrinityCore,2019,4,918474,2.7
TrinityCore,2019,8,929109,2.7
TrinityCore,2019,12,933837,2.7
xbmc,2015,4,697997,3.8
xbmc,2015,8,731489,3.8
xbmc,2015,12,645999,3.7
xbmc,2016,4,613260,3.6
xbmc,2016,8,616115,3.6
xbmc,2016,12,622833,3.6
xbmc,2017,4,607527,3.6
xbmc,2017,8,627929,3.5
xbmc,2017,12,639090,3.5
xbmc,2018,4,643679,3.5
xbmc,2018,8,650695,3.5
xbmc,2018,12,653816,3.5
xbmc,2019,4,658293,3.5
xbmc,2019,8,649702,3.5
xbmc,2019,12,653906,3.5